"","date","temperature_celsius","rainfall_mm"
"274",2013-10-01,25.2564,36.5215
"275",2013-11-01,25.812,84.2852
"276",2013-12-01,25.3371,72.66
"277",2014-01-01,25.6409,20.1543
"278",2014-02-01,26.6889,34.7628
"279",2014-03-01,26.8922,60.4054
"280",2014-04-01,25.4701,61.9105
"281",2014-05-01,25.6096,66.4223
"282",2014-06-01,25.0937,43.8258
"283",2014-07-01,24.5677,27.0972
"284",2014-08-01,23.8324,36.4492
"285",2014-09-01,24.8383,47.0196
"286",2014-10-01,25.4047,63.8456
"287",2014-11-01,25.4512,102.131
"288",2014-12-01,25.4477,50.6548
"289",2015-01-01,25.0435,26.2482
"290",2015-02-01,26.386,21.8238
"291",2015-03-01,26.5572,48.4594
"292",2015-04-01,26.0706,136.338
"293",2015-05-01,25.0663,101.457
"294",2015-06-01,24.5884,70.9284
"295",2015-07-01,24.4622,20.7931
"296",2015-08-01,24.3538,17.9734
"297",2015-09-01,25.425,36.7493
"298",2015-10-01,26.9733,64.3615
"299",2015-11-01,25.2908,163.608
"300",2015-12-01,26.2345,63.2356
"301",2016-01-01,27.0367,56.7251
"302",2016-02-01,27.5964,18.22
"303",2016-03-01,27.7507,30.4865
"304",2016-04-01,26.9416,166.705
"305",2016-05-01,25.3344,70.6712
"306",2016-06-01,24.2913,34.905
"307",2016-07-01,24.256,34.5489
"308",2016-08-01,24.0942,25.5342
"309",2016-09-01,24.437,15.1428
"310",2016-10-01,26.0317,40.0055
"311",2016-11-01,25.5692,121.997
"312",2016-12-01,25.7401,100.261
